Content,Status,Profile
"Guaranteed Sales and Passive Income: (Commission)
**+75 Commission-Based Outreachers & Sales Workers!**

I reckon you wouldn't have anything against a few **Extra CLIENTS a Month and a Passive Sales Machine? **(DM US)

If so, we can get you **Guaranteed Meetings and Automated Sales Systems.**",no,spam
"My company needs freelancers for
Retyping jobs*
Translation jobs*
Budget: $3,000.00 - $4,000.00",no,spam
"Guaranteed Sales and Passive Income: (Commission)
**+75 Commission-Based Outreachers & Sales Workers!**

I reckon you wouldn't have anything against a few **Extra CLIENTS a Month and a Passive Sales Machine? **(DM US)

If so, we can get you **Guaranteed Meetings and Automated Sales Systems.**",no,no
"I have worked as a full-stack web and AI developer so far.
I'm open to forming friendships with individuals who are also interested in professional collaboration, especially those passionate about business. I'd love an introduction. Building genuine and supportive friendships is my goal, and I'm excited about the potential new connections.",no,no
How are you doing?,no,no
Hello!,no,no
"Guaranteed Sales and Passive Income: (Commission)
**+75 Commission-Based Outreachers & Sales Workers!**

I reckon you wouldn't have anything against a few **Extra CLIENTS a Month and a Passive Sales Machine? **(DM US)

If so, we can get you **Guaranteed Meetings and Automated Sales Systems.**",no,no
content,no,no
"[FORHIRE] [REMOTE] [React Native]

React Native Developer seeking remote role. 8 years of experience building mobile apps with React Native. 

Github: https://github.com/bradjin8",no,no
"[For HIRE][Remote][Looking for job]
Hi. I have 8 years of experience on Frontend(React,Next.js, VueJs, Javascript,React-Native,Flutter, Typescript, Tailwind , bootstrap) and backend(Django, Laravel, Python, Node/Express). I will share my work in chat.",no,no
"**[For Hire][Remote 🇬🇧 / 🇪🇺 ]**
Hey, I'm a full stack engineer with around 3.5 years of both startup and large FTSE250 company experience. 

My main tech stack involves: 
React, Typescript, Node, AWS, bits of Python / C# where necessary. 
Observability/Testing/Some infra included!

Feel free to DM me to find out more :)",no,no
"[FORHIRE] [REMOTE]

A passionate web developer specializing in React.js, Next.js, Node.js, Tailwind CSS, TypeScript with a strong foundation in both frontend and backend.
I'm responsible for creating User-friendly, Seamless, Smooth, and Responsive UIs.
Available to start immediately.",no,no
"[FORHIRE] [REMOTE] [FRONTEND|FULLSTACK]

MERN Stack Developer seeking remote role. 4 years of experience building responsive web apps with React, Redux, Next.js, Remix, TypeScript, Tailwind, Material UI and more. Eager to expand backend skills in Node/Express/MongoDB and other technologies. Proficient in React & UI, ready to add value to your team.

Github: https://github.com/matrixersp",no,no
"[For hire] [Remote] [Full-time/Part-time]
I'm seeking work as a UI/UX designer & Full stack developer.
https://kiyoshi-araki-v2.vercel.app/
Thank you.",no,no
"[FOR HIRE][REMOTE][FULL TIME][]
I'm seeking work as a full stack developer.

https://www.linkedin.com/in/yosuke-kuroki-3b79a630a
TG: @TechEnchantress
Thank you",no,no
"[FOR HIRE][REMOTE][FULL TIME][]
I'm seeking work as a full stack designer and developer.
https://shinobi8894.onrender.com/
Thank you",no,no
"[FOR HIRE] [FULL TIME] [FREELANCE] [Remote]  
Hello I'm leo, I am a back-end developer and I'm  looking for freelance/full-time project urgently. I am experienced in Golang,TypeScript and Backend systems. I'm also experienced in distributed architecture.

My skills: Golang, Typescript, SQL database,mongodb,Kafka,redis, Docker 

GitHub: https://github.com/leoantony72",no,no
"[FOR HIRE][REMOTE]
Hi, I'm Danial, a full stack developer with +5 years XP.
I am expert full JS/TS like Node.js with Nest.js, React.js with Next.js and React Native.
This is my portfolio https://swan1213.github.io/
Thanks",no,no
"[hiring][remote][part time][freelance]

[EDITED]: IF YOU HAVE ALREADY REACHED OUT. THANK YOU <3. I HAVE OVER 250 PEOPLE TO SIFT THROUGH. WE WILL REACH OUT THIS WEEK. PLEASE NO MORE NEW SUBMISSIONS. ANYONE WHO WE REJECT WE'LL KEEP IN TOUCH WITH FOR MORE FREELANCE AND BOUNTY OPPORTUNITIES

Looking for a Freelance dev for around $25-40/hr

Projects:
1. The work will include building small, standalone JS/HTML/CSS frontend hosted by a micro node backend, which also act as an API (a backend for frontend)
2. Update a Next.js demo from using one mutli-API solution to a new API that combines that functionality - specifically [this demo app](https://emilyai.deepgram.com)

Required:
- Ability to make beautiful interfaces with native JS/CSS
- These specifically: Next.js / Node / Native JS

Bonus:
- Experience using LLMs and other AI products, including by API

Nice to have:
- Any other programming languages

We are deepgram.com for context",no,no
"[For Hire] [Remote] [React/Django]
Am a software engineer with the following tech stack - reactjs, reactnative, nextjs, tailwindcss, django/djangorestframework, mysql, redux, git/github . 
Linkedin - https://www.linkedin.com/in/auc-james-29584518b",no,no
"[HIRING][Remote][Part Time][Freelance]

Looking For Freelance Frontend Developer: $15-25/hr

Skills Required:
Framer Motion
NextJS / React
Typescript
TaildwindCSS

DM me with your portfolio.

Our website is https://www.vidovo.com

Update: Thanks for all the messages, got an amazing resume and hired someone from this server 🚀 will keep others in mind for future work",no,no
"Messages must start with [FORHIRE]/[HIRING]. Check the channel description for a full list of tags and rules!

* Posts should be reasonably descriptive.
* Jobs are paid — unpaid, equity-only, or similar are not allowed.
* We don't allow ""small gigs,"" like pay-for-help or one-off work of only a few hours.

Moderators may remove posts at any time, with or without warning. Repeat violators of these rules will be removed from the server permanently, with or without warning. We have more information on our Promotion Guidelines: https://www.reactiflux.com/promotion#job-board. If you believe you have been removed in error, you can dispute at `hello@reactiflux.com`.",no,no
"[For Hire][Remote][Part Time][Freelance]

Hi there! I'm Akash Kumar, a  MERN Stack and full-stack web developer focused on creating seamless web and desktop applications with responsive designs and efficient interfaces.

Skills :
Front-End: React.js, Next.js, Redux Toolkit, Tailwind CSS.
Back-End: Node.js, Express.js, MongoDB, Elastic Search.
Cloud: AWS cloud services.",no,no
"[HIRING][REMOTE]

Looking for a React developer to build an Medical CRM dashboard. You have to collaborate with our backend developer. 

Please share your past work in DM. Figma - https://www.figma.com/design/8VU0sGFz5jdOWvRFhfnZT/main_CRM_med?node-id=0-1&m=dev",yes,"Backend Developer, Full Stack Developer, React Developer"
"[HIRING] [REMOTE] [FULLTIME] [OPEN SOURCE]

Senior React Native Engineer at Rocket.Chat

You'll be working on this open source repo https://github.com/RocketChat/Rocket.Chat.ReactNative/

https://www.rocket.chat/job?gh_jid=5228503004",yes,React Native Engineer
"[HIRING][REMOTE]

Looking for a nextjs developer to build an admin dashboard. 
Details to be shared in DM. Figma - https://www.figma.com/design/IQCxd253oPklMkbK4xjOf/nextjs?node-id=1-59748&m=dev",yes,NextJs Developer
"Messages must start with [FORHIRE]/[HIRING]. Check the channel description for a full list of tags and rules!

* Posts should be reasonably descriptive.
* Jobs are paid — unpaid, equity-only, or similar are not allowed.
* We don't allow ""small gigs,"" like pay-for-help or one-off work of only a few hours.

Moderators may remove posts at any time, with or without warning. Repeat violators of these rules will be removed from the server permanently, with or without warning. We have more information on our Promotion Guidelines: https://www.reactiflux.com/promotion#job-board. If you believe you have been removed in error, you can dispute at `hello@reactiflux.com`.",no,no
"[HIRING] [REMOTE][US or Canada][FULL TIME][No Agencies]

Company: Rapptr 🦖
Role: FE Engineer 
Full Time: Yes
Remote OK: Yes
Sponsorship: N/A
Salary Range: 35-45/hour DO experience/skill
Contact: DM here or cory.mcaboy@hey.com
Location: Remote; Targeting US and Canada.
Relocation Assistance: N/A

Hey all 👋,

Rapptr Labs 🦖 is looking for a FE Engineer!

We are an app design and development firm specializing in mobile and web development. The apps we work on range from food delivery apps to calling apps to apartment rentals apps and much more! We’re looking for a talented Backend Engineer to join our growing team. You’ll work with our Clients, Designers, Product Managers, and other Engineers to create cutting-edge codebases for our clients’ diverse native mobile and web apps.

This role is only for US or Canada applicants.

Key Qualifications:
3+ years of FE experience.
Proven history of developing modern apps preferably used by the general public.
Ability to effectively communicate challenges and issues both verbally and written.

Bonus points for backend or React Native experience

Here is our tech stack:

Typescript
Prisma
Node
GraphQL
PostgresQL
tRPC
React
Apollo

If this excites you, please fill out an application:

https://careers.rapptrlabs.com/apply/spF6kX5kXf/Frontend-Engineer-Contract",yes,"Full Stack Developer, Web Developer"
"[HIRING][FULL-TIME]

React Native Engineer - Chicago [HYBRID]

Our tech team over at the Chicago Bulls is growing! We're looking for a Software Engineer who specializes in React Native to work on our mobile team and help build experiences that connect and engage fans with the iconic Bulls brand. If you want a lot of room to work on a lot of things in an exciting entertainment space, apply and/or DM me!

More details & apply: https://www.nba.com/bulls/career-opportunities?gnk=job&gni=8a7885a8910ff3110191488782ed7136&lang=en",yes,React Native Engineer
"[HIRING][REMOTE][FULLTIME]

Hey everyone!

My name is Sumi Yamin from DeepAI a new up and coming AI chat application. We’re on the lookout for talented React.js and React Native developers (MERN Stack and Ollama) to join our team. If you’re passionate about building amazing AI applications and want to be part of an exciting project, we’d love to hear from you!

Salary: $1,500 per month

Feel free to drop your resume or DM me for more details.

Thanks!

You can also connect with me here: careers@deepai.org or learn more at https://deepai.org/chat",yes,"React Native Engineer, React Js Developer"
"[HIRING] [FULL-TIME] [REMOTE] 
Looking for REACT developer
Budget: ASK
Qualifications:
Must have basic knowledge of react, javascript, css and html ( only Freshers )
link: https://www.linkedin.com/company/plazmacloud

DM me if you are interested (only indians)",yes,React Developer
"[HIRING] [FULL-TIME] [REMOTE] 
Looking for highly skilled MERN stack developer
Budget: $1000
Deadline: within 10 days
Qualifications:
Must have 5+ years of experience in MERN stack development
Must prove your experience with project urls worked on
No upfront
link: https://www.ebooks.com/en-us/
DM me if you are interested",yes,MERN Stack Developer
"[HIRING] [FULL-TIME] [REMOTE] - Senior React Native Developers

We are seeking experienced React Native Developers with a minimum of 5 years of extensive hands-on experience to join our team at UXBERT Labs. You will be working on large-scale, high-impact projects that push the boundaries of mobile app development.

Job posting: https://uxbert.bamboohr.com/careers/161

https://www.uxbert.com",yes,Senior React Native Developer
"[HIRING] [FULL TIME] [HYBRID]
Senior/Staff Frontend/Full-Stack Engineer (React/TypeScript)
$219K – $244K • 0.259% – 0.313%
The job is a hybrid role with 3-4 days/week in the Redwood City, CA office.

[Job description](https://jobs.ashbyhq.com/rundoo/c6f39d6e-f216-41e7-8ebd-ca0cfe38893d)",yes,"Frontend,Full-Stack Engineer, React Developer"
"[HIRING]
Senior Software Engineer (Full stack & Frontend)  [LOCAL] [FULL TIME]: $181,000—$226,500 USD

The E-commerce team at Box is looking for a Senior Software Engineer with strong technical leadership skills especially in frontend technologies. We are looking for technical leaders who are passionate about owning projects and collaborating with stakeholders across the business (marketing, sales and engineering organizations). 

The job is a hybrid role with two days a week in the Redwood City, CA office (Tuesday/Thursday). 

The job description and application form can be found here: [link](https://box.eightfold.ai/careers/job?domain=box.com&pid=584138945215&location=Redwood%20City%2C%20CA%2C%20United%20States&domain=box.com&sort_by=relevance&triggerGoButton=false&triggerGoButton=true&job_index=11).

Feel free to reach out with more questions!",yes,"Software Engineer, Full Stack Engineer, Frontend"
"Messages must start with [FORHIRE]/[HIRING]. Check the channel description for a full list of tags and rules!

* Posts should be reasonably descriptive.
* Jobs are paid — unpaid, equity-only, or similar are not allowed.
* We don't allow ""small gigs,"" like pay-for-help or one-off work of only a few hours.

Moderators may remove posts at any time, with or without warning. Repeat violators of these rules will be removed from the server permanently, with or without warning. We have more information on our Promotion Guidelines: https://www.reactiflux.com/promotion#job-board. If you believe you have been removed in error, you can dispute at `hello@reactiflux.com`.",no,no
"[HIRING] [REMOTE-US, REMOTE-UK, REMOTE-BRAZIL] [FULL-TIME] [GMT-7 work hours]

Interested in bikes? Fitness? Video games? Massively Multiplayer Online Games? 
What about an MMO designed to make people more active, more often through virtual cycling and running?

[Zwift](https://zwift.com/) is looking for mid-to-senior engineers skilled in [full stack](https://www.zwift.com/careers?gh_jid=7457326002) and/or [mobile](https://www.zwift.com/careers?gh_jid=7482920002#grnhse-job-details) (we've recently began adopting React Native for mobile projects). 

Zwift has offices in Los Angeles, London, and Rio, and supports full time remote.

Please DM me for more details if you are interested in working at the fitness company born out of gaming (and/or apply directly via the listings above)",yes,"Full Stack Developer, Web Developer"
"[FOR HIRE] [UI/CODING /DESIGN]
 I'm a **Web developer** & **UI/UX Designer**.  

React, vue, WP, Shopify, HTML,CSS,JS 

🔥  Portfolio - https://www.designcoder.tech
Short Video - https://youtu.be/I0mJcy0h4u8",no,no
"Messages must start with [FORHIRE]/[HIRING]. Check the channel description for a full list of tags and rules!

* Posts should be reasonably descriptive.
* Jobs are paid — unpaid, equity-only, or similar are not allowed.
* We don't allow ""small gigs,"" like pay-for-help or one-off work of only a few hours.

Moderators may remove posts at any time, with or without warning. Repeat violators of these rules will be removed from the server permanently, with or without warning. We have more information on our Promotion Guidelines: https://www.reactiflux.com/promotion#job-board. If you believe you have been removed in error, you can dispute at `hello@reactiflux.com`.",no,no
"**[Hiring] [Remote in UK] Senior React Native Engineer**

Hi all. We are Enlock, an emerging startup based in London, UK with high ambitions. We are looking for a self-motivated React Native engineer who is interested in what we're doing, allowing them to join our small team of three in building our amazing product. You can learn more about us and our product at our pre-release website: https://www.enlock.com/.

We offer a salary in the range of £80-100k/yr, along with many benefits. You can learn more about the role here: https://www.enlock.com/careers/senior_react_native_engineer. Instructions on how to apply are on the same page. Please note that this role is available to UK residents only.

Thanks for taking a moment to read this, and please do not hesitate to DM me or tag me elsewhere on this server to discuss any questions you may have.

**Please no agencies. We are looking for a long-lasting full-time hire.**",yes,Senior React Native Engineer
"Messages must start with [FORHIRE]/[HIRING]. Check the channel description for a full list of tags and rules!

* Posts should be reasonably descriptive.
* Jobs are paid — unpaid, equity-only, or similar are not allowed.
* We don't allow ""small gigs,"" like pay-for-help or one-off work of only a few hours.

Moderators may remove posts at any time, with or without warning. Repeat violators of these rules will be removed from the server permanently, with or without warning. We have more information on our Promotion Guidelines: https://www.reactiflux.com/promotion#job-board. If you believe you have been removed in error, you can dispute at `hello@reactiflux.com`.",no,no
